,Node,Branch,Length
0,"((0, 0, -1), (59.0, 12.0, 57.0))","[(0, 0, -1), (39, 30, 0), (40, 30, 1), (39, 30, 1), (40, 30, 2), (40, 30, 3), (40, 30, 4), (41, 30, 5), (41, 29, 6), (41, 29, 7), (41, 29, 8), (41, 29, 9), (42, 29, 10), (42, 28, 11), (42, 28, 12), (42, 28, 13), (43, 28, 14), (43, 27, 15), (43, 27, 16), (43, 27, 17), (43, 27, 18), (44, 26, 19), (44, 26, 20), (45, 26, 21), (45, 26, 22), (45, 25, 23), (45, 25, 24), (45.0, 25.0, 25.0), (45.0, 25.0, 26.0), (45.0, 24.0, 27.0), (46.0, 24.0, 28.0), (46.0, 24.0, 29.0), (46.0, 23.0, 30.0), (47.0, 23.0, 31.0), (47.0, 23.0, 32.0), (47.0, 22.0, 33.0), (47.0, 22.0, 34.0), (48.0, 22.0, 35.0), (48.0, 21.0, 36.0), (48.0, 21.0, 37.0), (48.0, 21.0, 38.0), (49.0, 20.0, 39.0), (49.0, 20.0, 40.0), (50.0, 19.0, 41.0), (50.0, 19.0, 42.0), (51.0, 19.0, 43.0), (51.0, 18.0, 44.0), (51.0, 18.0, 45.0), (52.0, 18.0, 46.0), (52.0, 17.0, 47.0), (52.0, 17.0, 48.0), (53.0, 17.0, 49.0), (53.0, 16.0, 50.0), (54.0, 16.0, 51.0), (54.0, 16.0, 52.0), (54.0, 15.0, 53.0), (55.0, 15.0, 54.0), (55.0, 15.0, 55.0), (56.0, 14.0, 56.0), (56.0, 14.0, 57.0), (57.0, 14.0, 58.0), (58.0, 13.0, 57.0), (59.0, 13.0, 57.0), (59.0, 12.0, 57.0)]",0.6992721979351897
1,"((0, 0, -1), (50.0, 9.0, 97.0))","[(0, 0, -1), (37, 29, 0), (36, 28, 1), (37, 29, 1), (38, 29, 2), (37, 28, 3), (38, 29, 4), (39, 29, 5), (39, 29, 6), (39, 29, 7), (39, 29, 8), (39, 28, 9), (39, 28, 10), (39, 28, 11), (39, 28, 12), (40, 28, 13), (40, 27, 14), (40, 27, 15), (40, 27, 16), (40, 27, 17), (40, 27, 18), (40, 26, 19), (40, 26, 20), (40, 26, 21), (40, 26, 22), (40, 26, 23), (40, 25, 24), (40, 25, 25), (40, 25, 26), (41, 25, 27), (41, 25, 28), (41, 24, 29), (41, 24, 30), (41.0, 24.0, 31.0), (41.0, 24.0, 32.0), (41.0, 24.0, 33.0), (41.0, 23.0, 34.0), (41.0, 23.0, 35.0), (41.0, 23.0, 36.0), (41.0, 23.0, 37.0), (41.0, 23.0, 38.0), (42.0, 22.0, 39.0), (42.0, 22.0, 40.0), (42.0, 22.0, 41.0), (42.0, 22.0, 42.0), (42.0, 21.0, 43.0), (42.0, 21.0, 44.0), (42.0, 21.0, 45.0), (42.0, 21.0, 46.0), (42.0, 21.0, 47.0), (42.0, 21.0, 48.0), (42.0, 21.0, 49.0), (42.0, 21.0, 50.0), (42.0, 21.0, 51.0), (42.0, 21.0, 52.0), (42.0, 20.0, 53.0), (42.0, 20.0, 54.0), (42.0, 20.0, 55.0), (42.0, 19.0, 56.0), (42.0, 19.0, 57.0), (42.0, 19.0, 58.0), (42.0, 19.0, 59.0), (42.0, 19.0, 60.0), (42.0, 19.0, 61.0), (42.0, 19.0, 62.0), (42.0, 19.0, 63.0), (42.0, 18.0, 64.0), (42.0, 18.0, 65.0), (43.0, 18.0, 66.0), (43.0, 18.0, 67.0), (43.0, 18.0, 68.0), (43.0, 18.0, 69.0), (43.0, 17.0, 70.0), (43.0, 17.0, 71.0), (43.0, 17.0, 72.0), (44.0, 17.0, 73.0), (44.0, 17.0, 74.0), (44.0, 16.0, 75.0), (44.0, 16.0, 76.0), (44.0, 16.0, 77.0), (44.0, 16.0, 78.0), (44.0, 16.0, 79.0), (45.0, 15.0, 80.0), (45.0, 15.0, 81.0), (45.0, 15.0, 82.0), (45.0, 15.0, 83.0), (46.0, 14.0, 84.0), (46.0, 14.0, 85.0), (46.0, 14.0, 86.0), (47.0, 13.0, 87.0), (47.0, 13.0, 88.0), (47.0, 13.0, 89.0), (48.0, 12.0, 90.0), (48.0, 12.0, 91.0), (48.0, 11.0, 92.0), (49.0, 11.0, 93.0), (49.0, 11.0, 94.0), (50.0, 10.0, 95.0), (50.0, 10.0, 96.0), (50.0, 9.0, 97.0)]",1.187296021414836
2,"((0, 0, -1), (20, 16, 99))","[(0, 0, -1), (35, 31, 0), (35, 30, 1), (35, 30, 2), (35, 31, 1), (35, 32, 1), (35, 31, 2), (35, 31, 3), (34, 31, 4), (34, 31, 5), (34, 30, 6), (34, 30, 7), (34, 30, 8), (34, 30, 9), (34, 30, 10), (34, 30, 11), (33, 30, 12), (33, 30, 13), (33, 29, 14), (33, 29, 15), (33, 29, 16), (33, 29, 17), (33, 29, 18), (33, 29, 19), (33, 29, 20), (32, 29, 21), (32, 29, 22), (32, 28, 23), (32, 28, 24), (32, 28, 25), (32, 28, 26), (32, 28, 27), (32, 28, 28), (31, 28, 29), (31, 27, 30), (31, 27, 31), (31, 27, 32), (31, 27, 33), (31, 27, 34), (31, 27, 35), (31, 27, 36), (30, 26, 37), (30, 26, 38), (30, 26, 39), (30, 26, 40), (30, 25, 41), (30, 25, 42), (30, 25, 43), (30, 25, 44), (30, 25, 45), (30, 25, 46), (29, 24, 47), (29, 24, 48), (29, 24, 49), (29, 24, 50), (29, 24, 51), (29, 23, 52), (29, 23, 53), (29, 23, 54), (28, 23, 55), (28, 23, 56), (28, 23, 57), (28, 23, 58), (28, 23, 59), (28, 22, 60), (28, 22, 61), (27, 22, 62), (27, 22, 63), (27, 22, 64), (27, 22, 65), (27, 21, 66), (27, 21, 67), (27, 21, 68), (27, 21, 69), (27, 21, 70), (27, 21, 71), (27, 21, 72), (26, 21, 73), (26, 21, 74), (26, 21, 75), (26, 21, 76), (26, 21, 77), (25, 20, 78), (25, 20, 79), (25, 20, 80), (25, 20, 81), (25, 20, 82), (24, 19, 83), (24, 19, 84), (24, 19, 85), (24, 19, 86), (23, 19, 87), (23, 19, 88), (23, 19, 89), (23, 19, 90), (22, 18, 91), (22, 18, 92), (22, 18, 93), (22, 18, 94), (21, 18, 95), (21, 18, 96), (21, 17, 97), (21, 17, 98), (21, 17, 99), (20, 16, 99)]",1.4024781707385103
3,"((0, 0, -1), (29, 56, 12))","[(0, 0, -1), (37, 37, 0), (37, 38, 1), (37, 39, 2), (37, 39, 3), (37, 39, 4), (37, 40, 4), (37, 41, 5), (37, 42, 6), (37, 43, 7), (38, 44, 7), (38, 45, 8), (37, 46, 9), (37, 47, 9), (37, 48, 10), (37, 49, 10), (37, 50, 10), (36, 51, 11), (36, 52, 11), (35, 53, 11), (34, 53, 12), (33, 54, 12), (32, 54, 12), (31, 54, 12), (30, 54, 12), (29, 55, 12), (29, 56, 12)]",0.35015263667949087
4,"((0, 0, -1), (17, 25, 8))","[(0, 0, -1), (31, 32, 0), (31, 32, 1), (30, 32, 2), (29, 32, 3), (28, 31, 4), (27, 31, 4), (26, 30, 5), (25, 30, 5), (24, 29, 6), (23, 29, 6), (22, 28, 7), (21, 27, 7), (20, 27, 7), (19, 26, 7), (18, 26, 7), (17, 25, 8)]",0.17020677893057154
5,"((39, 32, 1), (43.0, 28.0, 89.0))","[(39, 32, 1), (38, 32, 2), (39, 32, 3), (39, 32, 4), (39, 32, 5), (39.0, 32.0, 6.0), (39.0, 32.0, 7.0), (38.0, 32.0, 8.0), (38.0, 32.0, 9.0), (38.0, 31.0, 10.0), (38.0, 31.0, 11.0), (38.0, 31.0, 12.0), (38.0, 31.0, 13.0), (38.0, 31.0, 14.0), (38.0, 31.0, 15.0), (38.0, 31.0, 16.0), (38.0, 30.0, 17.0), (38.0, 30.0, 18.0), (38.0, 30.0, 19.0), (38.0, 30.0, 20.0), (38.0, 30.0, 21.0), (38.0, 30.0, 22.0), (38.0, 30.0, 23.0), (38.0, 29.0, 24.0), (38.0, 29.0, 25.0), (38.0, 29.0, 26.0), (38.0, 29.0, 27.0), (38.0, 29.0, 28.0), (38.0, 29.0, 29.0), (38.0, 29.0, 30.0), (38.0, 29.0, 31.0), (38.0, 29.0, 32.0), (38.0, 29.0, 33.0), (38.0, 29.0, 34.0), (38.0, 29.0, 35.0), (38.0, 29.0, 36.0), (38.0, 29.0, 37.0), (38.0, 29.0, 38.0), (38.0, 29.0, 39.0), (38.0, 29.0, 40.0), (38.0, 29.0, 41.0), (38.0, 29.0, 42.0), (38.0, 28.0, 43.0), (38.0, 28.0, 44.0), (38.0, 28.0, 45.0), (38.0, 28.0, 46.0), (38.0, 28.0, 47.0), (38.0, 28.0, 48.0), (38.0, 28.0, 49.0), (38.0, 28.0, 50.0), (38.0, 28.0, 51.0), (38.0, 28.0, 52.0), (38.0, 28.0, 53.0), (38.0, 28.0, 54.0), (38.0, 28.0, 55.0), (38.0, 28.0, 56.0), (38.0, 27.0, 57.0), (38.0, 27.0, 58.0), (38.0, 27.0, 59.0), (38.0, 27.0, 60.0), (38.0, 27.0, 61.0), (38.0, 27.0, 62.0), (38.0, 27.0, 63.0), (38.0, 26.0, 64.0), (38.0, 26.0, 65.0), (38.0, 26.0, 66.0), (38.0, 26.0, 67.0), (38.0, 26.0, 68.0), (38.0, 26.0, 69.0), (38.0, 26.0, 70.0), (38.0, 26.0, 71.0), (38.0, 26.0, 72.0), (38.0, 26.0, 73.0), (38.0, 27.0, 74.0), (38.0, 27.0, 75.0), (39.0, 27.0, 76.0), (39.0, 27.0, 77.0), (39.0, 27.0, 78.0), (40.0, 27.0, 79.0), (40.0, 27.0, 80.0), (40.0, 27.0, 81.0), (40.0, 28.0, 82.0), (41.0, 28.0, 83.0), (41.0, 28.0, 84.0), (41.0, 28.0, 85.0), (42.0, 28.0, 86.0), (42.0, 28.0, 87.0), (42.0, 28.0, 88.0), (43.0, 28.0, 89.0)]",1.38122416592137
6,"((37, 34, 1), (46, 38, 97))","[(37, 34, 1), (37, 34, 2), (37, 34, 3), (38, 34, 4), (38, 34, 5), (38, 34, 6), (38, 34, 7), (38, 34, 8), (38, 34, 9), (39, 34, 10), (39, 34, 11), (39, 35, 12), (39, 35, 13), (39, 35, 14), (39, 35, 15), (39, 35, 16), (39, 35, 17), (39, 35, 18), (39, 35, 19), (39, 35, 20), (40, 34, 21), (40, 34, 22), (40, 34, 23), (40, 34, 24), (40, 34, 25), (40, 34, 26), (41, 34, 27), (41, 34, 28), (41, 34, 29), (41, 34, 30), (41, 34, 31), (41, 34, 32), (41, 34, 33), (41, 34, 34), (41, 34, 35), (41, 34, 36), (41, 34, 37), (41, 34, 38), (41, 34, 39), (41, 34, 40), (42, 34, 41), (42, 34, 42), (42, 34, 43), (42, 34, 44), (42, 34, 45), (42, 35, 46), (42, 35, 47), (42, 35, 48), (42, 35, 49), (42, 35, 50), (42, 35, 51), (42, 35, 52), (42, 35, 53), (42, 35, 54), (43, 35, 55), (43, 35, 56), (43, 35, 57), (43, 35, 58), (43, 36, 59), (43, 36, 60), (43, 36, 61), (43, 36, 62), (43, 36, 63), (43, 36, 64), (43, 36, 65), (44, 36, 66), (44, 36, 67), (44, 36, 68), (44, 36, 69), (44, 36, 70), (44, 36, 71), (44, 36, 72), (44, 36, 73), (44, 36, 74), (44, 37, 75), (44, 37, 76), (44, 37, 77), (44, 37, 78), (45, 37, 79), (45, 37, 80), (45, 37, 81), (45, 37, 82), (45, 37, 83), (45, 37, 84), (45, 37, 85), (45, 37, 86), (45, 37, 87), (45, 37, 88), (46, 37, 89), (46, 37, 90), (46, 37, 91), (46, 37, 92), (46, 37, 93), (46, 37, 94), (46, 38, 95), (46, 38, 96), (46, 38, 97)]",1.3564738584309866
7,"((37, 34, 1), (55.0, 31.0, 84.0))","[(37, 34, 1), (38.0, 35.0, 2.0), (38.0, 36.0, 3.0), (38.0, 36.0, 4.0), (38.0, 36.0, 5.0), (38.0, 36.0, 6.0), (38.0, 36.0, 7.0), (38.0, 36.0, 8.0), (38.0, 36.0, 9.0), (38.0, 36.0, 10.0), (39.0, 36.0, 11.0), (39.0, 36.0, 12.0), (39.0, 36.0, 13.0), (39.0, 36.0, 14.0), (39.0, 36.0, 15.0), (39.0, 36.0, 16.0), (39.0, 36.0, 17.0), (39.0, 36.0, 18.0), (40.0, 36.0, 19.0), (40.0, 36.0, 20.0), (40.0, 36.0, 21.0), (40.0, 36.0, 22.0), (40.0, 36.0, 23.0), (40.0, 36.0, 24.0), (40.0, 36.0, 25.0), (41.0, 36.0, 26.0), (41.0, 36.0, 27.0), (41.0, 36.0, 28.0), (41.0, 36.0, 29.0), (41.0, 36.0, 30.0), (41.0, 36.0, 31.0), (42.0, 36.0, 32.0), (42.0, 36.0, 33.0), (42.0, 35.0, 34.0), (42.0, 35.0, 35.0), (42.0, 35.0, 36.0), (42.0, 35.0, 37.0), (43.0, 35.0, 38.0), (43.0, 35.0, 39.0), (43.0, 35.0, 40.0), (43.0, 35.0, 41.0), (43.0, 35.0, 42.0), (44.0, 35.0, 43.0), (44.0, 35.0, 44.0), (44.0, 35.0, 45.0), (44.0, 35.0, 46.0), (45.0, 34.0, 47.0), (45.0, 34.0, 48.0), (45.0, 34.0, 49.0), (45.0, 34.0, 50.0), (46.0, 34.0, 51.0), (46.0, 34.0, 52.0), (46.0, 34.0, 53.0), (46.0, 34.0, 54.0), (47.0, 34.0, 55.0), (47.0, 34.0, 56.0), (47.0, 34.0, 57.0), (47.0, 34.0, 58.0), (48.0, 33.0, 59.0), (48.0, 33.0, 60.0), (48.0, 33.0, 61.0), (48.0, 33.0, 62.0), (49.0, 33.0, 63.0), (49.0, 33.0, 64.0), (49.0, 33.0, 65.0), (50.0, 33.0, 66.0), (50.0, 33.0, 67.0), (50.0, 33.0, 68.0), (51.0, 32.0, 69.0), (51.0, 32.0, 70.0), (51.0, 32.0, 71.0), (52.0, 32.0, 72.0), (52.0, 32.0, 73.0), (52.0, 32.0, 74.0), (52.0, 32.0, 75.0), (53.0, 32.0, 76.0), (53.0, 32.0, 77.0), (54.0, 32.0, 78.0), (54.0, 32.0, 79.0), (54.0, 32.0, 80.0), (55.0, 31.0, 81.0), (55.0, 31.0, 82.0), (55.0, 31.0, 83.0), (55.0, 31.0, 84.0)]",1.280581427015448
8,"((41, 34, 29), (65, 43, 40))","[(41, 34, 29), (42, 34, 30), (43, 35, 29), (44, 35, 30), (45, 36, 31), (46, 36, 32), (47, 37, 33), (48, 37, 34), (49, 38, 35), (50, 38, 35), (51, 38, 36), (52, 39, 37), (53, 39, 37), (54, 40, 38), (55, 40, 38), (56, 40, 39), (57, 41, 39), (58, 41, 39), (59, 41, 40), (60, 42, 40), (61, 42, 40), (62, 42, 40), (63, 42, 40), (64, 43, 40), (65, 43, 40)]",0.28176450266769365
9,"((41, 34, 33), (67, 42, 74))","[(41, 34, 33), (42, 34, 34), (42, 34, 35), (42, 34, 36), (43, 34, 37), (43, 34, 38), (44, 34, 39), (44, 34, 40), (44, 34, 41), (45, 34, 42), (45, 33, 43), (46, 33, 44), (47, 33, 45), (47, 33, 46), (47, 33, 47), (47, 33, 48), (48, 33, 49), (48, 33, 50), (48, 33, 51), (49, 33, 52), (49, 34, 53), (49, 34, 54), (50, 34, 55), (50, 34, 56), (50, 34, 57), (50, 34, 58), (51, 35, 59), (51, 35, 60), (52, 35, 61), (52, 35, 62), (52, 35, 63), (53, 35, 64), (53, 35, 65), (54, 35, 66), (54, 36, 67), (55, 36, 68), (55, 36, 69), (56, 36, 70), (57, 37, 71), (58, 37, 71), (59, 38, 72), (60, 38, 72), (61, 39, 73), (62, 39, 73), (63, 39, 73), (64, 40, 73), (65, 40, 73), (66, 41, 74), (67, 42, 74)]",0.602502378264864
