,Node,Branch,Length
0,"((0, 0, -1), (71, 26, 76))","[(0, 0, -1), (48, 36, 0), (48, 37, 1), (48, 36, 1), (48, 36, 2), (48, 36, 3), (49, 37, 4), (49, 36, 5), (50, 37, 6), (50, 37, 7), (50, 37, 8), (50, 37, 9), (50, 37, 10), (51, 37, 11), (51, 38, 12), (52, 38, 13), (53, 38, 14), (52, 38, 15), (53, 38, 16), (53, 38, 17), (53, 38, 18), (54, 38, 19), (54, 38, 20), (54, 39, 21), (55, 39, 22), (55, 39, 23), (55, 39, 24), (56, 39, 25), (56, 39, 26), (56, 39, 27), (57, 39, 28), (57, 39, 29), (57, 38, 30), (57, 38, 31), (57, 38, 32), (58, 38, 33), (58, 38, 34), (58, 37, 35), (59, 37, 36), (59, 37, 37), (59, 37, 38), (59, 37, 39), (60, 36, 40), (60, 36, 41), (60, 36, 42), (61, 36, 43), (61, 35, 44), (61, 35, 45), (62, 35, 46), (62, 35, 47), (62, 35, 48), (63, 34, 49), (63, 34, 50), (63, 34, 51), (63, 33, 52), (64, 33, 53), (64, 33, 54), (64, 32, 55), (65, 32, 56), (65, 32, 57), (65, 31, 58), (66, 31, 59), (66, 31, 60), (66, 30, 61), (66, 30, 62), (67, 30, 63), (67, 30, 64), (67, 29, 65), (68, 29, 66), (68, 29, 67), (69, 28, 68), (69, 28, 69), (69, 28, 70), (70, 28, 71), (70, 27, 72), (70, 27, 73), (70, 27, 74), (71, 27, 75), (71, 26, 76)]",0.76289331584664
1,"((0, 0, -1), (22, 13, 14))","[(0, 0, -1), (38, 31, 0), (38, 32, 1), (38, 31, 1), (39, 32, 1), (38, 31, 2), (39, 32, 3), (38, 31, 4), (38, 30, 5), (38, 30, 6), (38, 30, 7), (37, 30, 8), (36, 29, 9), (35, 28, 10), (34, 27, 11), (34, 26, 11), (33, 25, 12), (32, 25, 12), (31, 24, 13), (30, 23, 13), (29, 22, 14), (29, 21, 14), (28, 20, 14), (27, 19, 14), (27, 18, 14), (26, 17, 14), (25, 16, 14), (24, 15, 14), (23, 14, 14), (22, 13, 14)]",0.394233102140223
2,"((0, 0, -1), (17.0, 10.0, 61.0))","[(0, 0, -1), (41, 32, 0), (41, 33, 1), (41, 32, 1), (41, 31, 2), (41, 32, 3), (40, 32, 4), (39, 32, 5), (39, 32, 6), (38, 32, 7), (38, 32, 8), (38, 31, 9), (38, 31, 10), (38, 31, 11), (38, 31, 12), (37, 31, 13), (37, 31, 14), (37, 31, 15), (37, 31, 16), (37, 30, 17), (37, 30, 18), (36, 30, 19), (36, 30, 20), (36, 30, 21), (36, 29, 22), (36, 29, 23), (36, 29, 24), (35, 29, 25), (35, 29, 26), (36, 29, 27), (35, 29, 28), (35, 28, 29), (34, 28, 30), (34, 28, 31), (34, 28, 32), (34, 27, 33), (33, 27, 34), (33, 27, 35), (33, 27, 36), (33, 27, 37), (32, 26, 38), (32, 26, 39), (32, 26, 40), (32, 26, 41), (31, 25, 42), (31, 25, 43), (31, 25, 44), (30, 25, 45), (30, 24, 46), (30, 24, 47), (29, 24, 48), (29, 24, 49), (29, 23, 50), (28, 23, 51), (28, 23, 52), (28, 23, 53), (27, 22, 54), (27, 22, 55), (27, 22, 56), (26, 22, 57), (26, 21, 58), (25, 21, 59), (25, 21, 60), (25, 21, 61), (25, 20, 62), (25.0, 19.0, 63.0), (24.0, 18.0, 62.0), (23.0, 18.0, 62.0), (22.0, 17.0, 62.0), (21.0, 16.0, 62.0), (20.0, 15.0, 62.0), (19.0, 14.0, 61.0), (18.0, 13.0, 61.0), (17.0, 12.0, 61.0), (18.0, 11.0, 61.0), (19.0, 12.0, 61.0), (19.0, 13.0, 62.0), (20.0, 13.0, 61.0), (20.0, 13.0, 62.0), (20.0, 14.0, 61.0), (21.0, 14.0, 62.0), (22.0, 15.0, 62.0), (23.0, 16.0, 62.0), (24.0, 17.0, 62.0), (23.0, 17.0, 62.0), (22.0, 16.0, 62.0), (21.0, 15.0, 62.0), (20.0, 14.0, 62.0), (19.0, 13.0, 61.0), (18.0, 12.0, 61.0), (17.0, 11.0, 61.0), (17.0, 10.0, 61.0)]",1.2392884563884585
3,"((0, 0, -1), (11, 3, 71))","[(0, 0, -1), (36, 36, 0), (35, 36, 1), (35, 37, 2), (36, 38, 3), (36, 37, 4), (35, 38, 5), (35, 38, 4), (35, 37, 5), (34, 36, 4), (35, 36, 4), (34, 36, 5), (35, 37, 4), (36, 37, 3), (35, 37, 3), (35, 36, 3), (36, 37, 2), (35, 36, 2), (36, 37, 1), (36, 36, 1), (37, 35, 2), (36, 34, 3), (35, 33, 4), (34, 32, 5), (34, 32, 6), (34, 32, 7), (34, 32, 8), (33, 32, 9), (34, 32, 10), (33, 32, 11), (33, 32, 12), (33, 32, 13), (32, 32, 14), (32, 31, 15), (31, 31, 16), (32, 31, 17), (31, 31, 18), (31, 31, 19), (30, 31, 20), (30, 31, 21), (30, 31, 22), (30, 30, 23), (29, 30, 24), (29, 30, 25), (29, 30, 26), (28, 29, 27), (28, 29, 28), (28, 28, 29), (28, 28, 30), (27, 27, 31), (27, 27, 32), (27, 26, 33), (26, 25, 34), (26, 25, 35), (25, 24, 36), (25, 24, 37), (25, 23, 38), (24, 22, 39), (24, 22, 40), (24, 22, 41), (23, 21, 42), (23, 20, 43), (22, 20, 44), (22, 19, 45), (21, 18, 46), (21, 18, 47), (20, 17, 48), (20, 17, 49), (20, 16, 50), (20, 16, 51), (19, 15, 52), (18, 14, 53), (18, 14, 54), (18, 13, 55), (17, 12, 56), (17, 12, 57), (16, 11, 58), (16, 11, 59), (15, 10, 60), (15, 9, 61), (15, 9, 62), (14, 8, 63), (14, 8, 64), (13, 7, 65), (13, 6, 66), (12, 5, 67), (12, 5, 68), (11, 5, 69), (11, 4, 70), (11, 3, 71)]",1.1996091482885007
4,"((0, 0, -1), (6.0, 45.0, 67.0))","[(0, 0, -1), (36, 33, 0), (37, 34, 1), (36, 33, 1), (37, 34, 2), (37, 35, 3), (37, 35, 4), (37, 35, 5), (37, 35, 6), (37, 35, 7), (36, 35, 8), (36, 35, 9), (36, 35, 10), (36, 35, 11), (36, 35, 12), (36, 35, 13), (35, 35, 14), (35, 35, 15), (35, 35, 16), (35, 35, 17), (35, 36, 18), (35, 36, 19), (35, 36, 20), (35, 36, 21), (35, 36, 22), (34, 36, 23), (34, 36, 24), (34, 37, 25), (34, 37, 26), (33, 37, 27), (33, 37, 28), (33, 37, 29), (33, 37, 30), (32, 38, 31), (32, 38, 32), (32, 38, 33), (31, 38, 34), (31, 39, 35), (31, 39, 36), (30, 39, 37), (30, 39, 38), (29, 40, 39), (29, 40, 40), (28, 40, 41), (27, 41, 42), (27, 41, 43), (26, 41, 44), (25, 42, 45), (25, 42, 46), (24, 42, 47), (24, 42, 48), (23, 43, 49), (22, 43, 50), (21, 42, 49), (20, 43, 50), (20, 43, 51), (19.0, 43.0, 52.0), (18.0, 42.0, 51.0), (17.0, 42.0, 52.0), (17.0, 41.0, 51.0), (18.0, 41.0, 50.0), (18.0, 41.0, 51.0), (18.0, 42.0, 50.0), (17.0, 42.0, 51.0), (16.0, 42.0, 52.0), (16.0, 42.0, 53.0), (15.0, 42.0, 54.0), (14.0, 42.0, 55.0), (14.0, 42.0, 56.0), (13.0, 43.0, 57.0), (12.0, 43.0, 58.0), (12.0, 43.0, 59.0), (11.0, 43.0, 60.0), (10.0, 44.0, 61.0), (9.0, 44.0, 62.0), (9.0, 44.0, 63.0), (8.0, 44.0, 64.0), (7.0, 45.0, 65.0), (7.0, 45.0, 66.0), (6.0, 45.0, 67.0)]",1.199960320333533
5,"((0, 0, -1), (9, 53, 19))","[(0, 0, -1), (37, 39, 0), (36, 39, 1), (36, 40, 2), (35, 40, 3), (35, 40, 4), (35, 41, 5), (34, 41, 6), (34, 41, 7), (34, 42, 8), (33, 42, 9), (33, 43, 10), (33, 43, 11), (32, 43, 12), (32, 44, 13), (32, 44, 14), (31, 45, 15), (31, 45, 16), (30, 46, 17), (30, 46, 18), (29, 45, 17), (28, 46, 17), (27, 46, 17), (26, 47, 17), (25, 47, 18), (24, 48, 18), (23, 48, 18), (22, 48, 18), (21, 49, 18), (20, 49, 18), (19, 50, 18), (18, 50, 18), (17, 50, 18), (16, 51, 18), (15, 51, 19), (14, 51, 19), (13, 52, 19), (12, 52, 19), (11, 52, 19), (10, 53, 19), (9, 53, 19)]",0.5620083089983716
6,"((0, 0, -1), (54, 59, 8))","[(0, 0, -1), (45, 51, 0), (45, 51, 1), (45, 51, 2), (45, 51, 3), (45, 50, 4), (45, 50, 5), (45, 50, 6), (45, 50, 7), (45, 50, 8), (45, 49, 9), (45, 49, 10), (45, 49, 11), (45, 48, 12), (44, 47, 13), (44, 46, 14), (45, 46, 15), (46, 47, 15), (47, 48, 15), (48, 49, 15), (49, 50, 14), (50, 51, 14), (50, 52, 14), (51, 53, 13), (52, 54, 12), (52, 55, 11), (53, 56, 10), (53, 57, 10), (53, 58, 9), (54, 59, 8)]",0.28705217100471425
7,"((0, 0, -1), (59.0, 22.0, 60.0))","[(0, 0, -1), (43, 32, 0), (43, 32, 1), (44, 32, 1), (43, 33, 1), (44, 32, 2), (44, 32, 3), (44, 31, 4), (44, 31, 5), (45, 31, 6), (45, 31, 7), (45, 31, 8), (45, 30, 9), (45, 30, 10), (45.0, 30.0, 11.0), (46.0, 30.0, 12.0), (46.0, 30.0, 13.0), (46.0, 29.0, 14.0), (46.0, 29.0, 15.0), (46.0, 29.0, 16.0), (47.0, 29.0, 17.0), (47.0, 29.0, 18.0), (47.0, 29.0, 19.0), (47.0, 28.0, 20.0), (48.0, 28.0, 21.0), (48.0, 28.0, 22.0), (48.0, 28.0, 23.0), (48.0, 27.0, 24.0), (48.0, 27.0, 25.0), (48.0, 27.0, 26.0), (48.0, 27.0, 27.0), (49.0, 27.0, 28.0), (49.0, 27.0, 29.0), (49.0, 27.0, 30.0), (49.0, 26.0, 31.0), (49.0, 26.0, 32.0), (49.0, 26.0, 33.0), (49.0, 26.0, 34.0), (50.0, 26.0, 35.0), (50.0, 26.0, 36.0), (50.0, 25.0, 37.0), (50.0, 25.0, 38.0), (50.0, 25.0, 39.0), (50.0, 25.0, 40.0), (51.0, 25.0, 41.0), (51.0, 25.0, 42.0), (52.0, 25.0, 43.0), (52.0, 24.0, 44.0), (53.0, 24.0, 45.0), (53.0, 24.0, 46.0), (54.0, 24.0, 47.0), (54.0, 24.0, 48.0), (55.0, 23.0, 49.0), (55.0, 23.0, 50.0), (56.0, 23.0, 51.0), (56.0, 23.0, 52.0), (57.0, 23.0, 53.0), (57.0, 23.0, 54.0), (57.0, 23.0, 55.0), (58.0, 22.0, 56.0), (58.0, 22.0, 57.0), (59.0, 22.0, 58.0), (59.0, 22.0, 59.0), (59.0, 22.0, 60.0)]",0.642679493337693
8,"((0, 0, -1), (42.0, 37.0, 73.0))","[(0, 0, -1), (45.0, 34.0, 0.0), (46.0, 34.0, 1.0), (45.0, 35.0, 2.0), (44.0, 34.0, 1.0), (43.0, 34.0, 1.0), (44.0, 34.0, 2.0), (44.0, 35.0, 1.0), (44.0, 35.0, 2.0), (44.0, 34.0, 3.0), (43.0, 34.0, 4.0), (43.0, 34.0, 5.0), (43.0, 34.0, 6.0), (43.0, 34.0, 7.0), (43.0, 34.0, 8.0), (43.0, 34.0, 9.0), (43.0, 34.0, 10.0), (43.0, 34.0, 11.0), (43.0, 34.0, 12.0), (43.0, 34.0, 13.0), (43.0, 34.0, 14.0), (43.0, 34.0, 15.0), (43.0, 34.0, 16.0), (43.0, 34.0, 17.0), (42.0, 34.0, 18.0), (42.0, 34.0, 19.0), (42.0, 34.0, 20.0), (42.0, 34.0, 21.0), (42.0, 34.0, 22.0), (42.0, 34.0, 23.0), (42.0, 34.0, 24.0), (42.0, 34.0, 25.0), (42.0, 34.0, 26.0), (42.0, 34.0, 27.0), (42.0, 34.0, 28.0), (42.0, 34.0, 29.0), (42.0, 34.0, 30.0), (42.0, 34.0, 31.0), (42.0, 35.0, 32.0), (42.0, 35.0, 33.0), (42.0, 35.0, 34.0), (42.0, 35.0, 35.0), (42.0, 35.0, 36.0), (42.0, 35.0, 37.0), (42.0, 35.0, 38.0), (42.0, 35.0, 39.0), (41.0, 36.0, 40.0), (41.0, 36.0, 41.0), (41.0, 36.0, 42.0), (41.0, 36.0, 43.0), (41.0, 36.0, 44.0), (41.0, 36.0, 45.0), (42.0, 36.0, 46.0), (42.0, 36.0, 47.0), (42.0, 36.0, 48.0), (42.0, 36.0, 49.0), (42.0, 36.0, 50.0), (42.0, 36.0, 51.0), (42.0, 36.0, 52.0), (42.0, 36.0, 53.0), (42.0, 36.0, 54.0), (42.0, 36.0, 55.0), (42.0, 36.0, 56.0), (42.0, 36.0, 57.0), (42.0, 36.0, 58.0), (42.0, 36.0, 59.0), (42.0, 36.0, 60.0), (42.0, 36.0, 61.0), (42.0, 37.0, 62.0), (42.0, 37.0, 63.0), (42.0, 37.0, 64.0), (42.0, 37.0, 65.0), (42.0, 37.0, 66.0), (42.0, 37.0, 67.0), (42.0, 37.0, 68.0), (42.0, 37.0, 69.0), (42.0, 37.0, 70.0), (42.0, 37.0, 71.0), (42.0, 37.0, 72.0), (42.0, 37.0, 73.0)]",1.0314642670106597
9,"((48, 36, 1), (70.0, 44.0, 53.0))","[(48, 36, 1), (47, 36, 1), (46, 37, 2), (46, 37, 1), (46, 38, 2), (47, 39, 2), (48, 40, 2), (49, 39, 3), (48, 39, 2), (49, 39, 2), (48, 39, 1), (47, 40, 1), (46, 39, 1), (47, 40, 2), (48, 40, 3), (49, 40, 4), (49, 40, 5), (50, 40, 6), (50, 41, 7), (50, 41, 8), (51, 41, 9), (51, 41, 10), (51, 41, 11), (52, 41, 12), (52, 42, 13), (52, 42, 14), (53, 42, 15), (53.0, 42.0, 16.0), (53.0, 42.0, 17.0), (54.0, 43.0, 18.0), (54.0, 43.0, 19.0), (54.0, 43.0, 20.0), (55.0, 43.0, 21.0), (55.0, 43.0, 22.0), (55.0, 43.0, 23.0), (56.0, 43.0, 24.0), (56.0, 43.0, 25.0), (56.0, 43.0, 26.0), (57.0, 43.0, 27.0), (57.0, 43.0, 28.0), (58.0, 43.0, 29.0), (58.0, 44.0, 30.0), (59.0, 44.0, 31.0), (59.0, 44.0, 32.0), (59.0, 44.0, 33.0), (60.0, 44.0, 34.0), (60.0, 44.0, 35.0), (61.0, 44.0, 36.0), (61.0, 44.0, 37.0), (62.0, 44.0, 38.0), (62.0, 44.0, 39.0), (63.0, 44.0, 40.0), (63.0, 44.0, 41.0), (64.0, 44.0, 42.0), (64.0, 44.0, 43.0), (65.0, 44.0, 44.0), (65.0, 44.0, 45.0), (66.0, 44.0, 46.0), (67.0, 44.0, 47.0), (67.0, 44.0, 48.0), (68.0, 44.0, 49.0), (68.0, 44.0, 50.0), (69.0, 44.0, 51.0), (69.0, 44.0, 52.0), (70.0, 44.0, 53.0)]",0.8291087718947128
