,Node,Branch,Length
0,"((0, 0, -1), (0, 15, 35))","[(0, 0, -1), (16, 11, 0), (15, 12, 1), (16, 11, 1), (16, 11, 2), (16, 11, 3), (16, 11, 4), (15, 11, 5), (15, 11, 6), (15, 11, 7), (15, 10, 8), (14, 10, 9), (14, 11, 10), (14, 11, 11), (13, 11, 12), (13, 11, 13), (13, 11, 14), (13, 11, 15), (12, 11, 16), (12, 11, 17), (11, 11, 18), (11, 11, 19), (10, 11, 20), (10, 11, 21), (9, 11, 22), (9, 11, 23), (8, 11, 24), (8, 11, 25), (7, 11, 26), (6, 12, 27), (6, 12, 28), (5, 12, 29), (4, 12, 30), (4, 12, 31), (3, 13, 32), (2, 13, 33), (1, 14, 34), (0, 15, 35)]",0.4979024352922669
1,"((0, 0, -1), (3, 17, 5))","[(0, 0, -1), (10, 13, 0), (9, 14, 1), (8, 14, 2), (7, 15, 3), (6, 16, 3), (5, 16, 4), (4, 17, 4), (3, 17, 5)]",0.1079480229163223
2,"((0, 0, -1), (38, 4, 9))","[(0, 0, -1), (22, 9, 0), (23, 9, 1), (22, 9, 1), (23, 9, 2), (23, 9, 3), (24, 9, 4), (24, 9, 5), (25, 9, 6), (25, 9, 7), (25, 9, 8), (26, 8, 9), (26, 8, 10), (27, 8, 11), (28, 7, 12), (29, 7, 13), (30, 7, 13), (31, 6, 14), (32, 6, 14), (33, 6, 15), (34, 5, 15), (35, 5, 14), (36, 5, 13), (37, 4, 12), (37, 4, 11), (38, 4, 10), (38, 4, 9)]",0.27288832496852583
3,"((0, 0, -1), (35.0, 4.0, 5.0))","[(0, 0, -1), (27.0, 8.0, 0.0), (28.0, 7.0, 1.0), (29.0, 7.0, 2.0), (30.0, 7.0, 3.0), (31.0, 6.0, 3.0), (32.0, 6.0, 4.0), (33.0, 5.0, 4.0), (34.0, 5.0, 4.0), (35.0, 4.0, 5.0)]",0.08882921009362565
4,"((16, 11, 1), (1, 16, 7))","[(16, 11, 1), (15, 12, 2), (14, 12, 3), (14, 12, 4), (13, 12, 5), (13, 12, 6), (12, 13, 7), (12, 13, 8), (11, 13, 8), (10, 14, 9), (9, 14, 9), (8, 14, 9), (7, 14, 9), (6, 15, 9), (5, 15, 9), (4, 16, 9), (3, 16, 9), (2, 16, 8), (1, 16, 7)]",0.23090671466893622
5,"((16, 11, 3), (16, 10, 1))","[(16, 11, 3), (16, 10, 2), (16, 10, 1)]",0.03512086893300338
6,"((15, 11, 5), (16, 10, 3))","[(15, 11, 5), (15, 11, 4), (16, 10, 3)]",0.02406823888160664
7,"((15, 11, 6), (14, 12, 2))","[(15, 11, 6), (15, 10, 5), (16, 10, 4), (15, 10, 4), (15, 10, 3), (15, 11, 3), (14, 12, 2)]",0.07519396819285436
8,"((15, 11, 6), (0, 9, 9))","[(15, 11, 6), (15, 10, 7), (14, 10, 8), (13, 10, 9), (12, 10, 10), (11, 10, 10), (10, 10, 10), (9, 10, 11), (8, 10, 11), (7, 9, 11), (6, 9, 11), (5, 9, 11), (4, 9, 10), (3, 9, 10), (2, 9, 10), (1, 9, 10), (0, 9, 9)]",0.15590509106170164
9,"((15, 11, 7), (12.0, 12.0, 32.0))","[(15, 11, 7), (15, 11, 8), (15, 11, 9), (14, 12, 10), (14, 12, 11), (14.0, 12.0, 12.0), (14.0, 12.0, 13.0), (14.0, 12.0, 14.0), (14.0, 12.0, 15.0), (13.0, 12.0, 16.0), (13.0, 12.0, 17.0), (13.0, 12.0, 18.0), (13.0, 12.0, 19.0), (13.0, 12.0, 20.0), (13.0, 12.0, 21.0), (13.0, 12.0, 22.0), (13.0, 12.0, 23.0), (13.0, 12.0, 24.0), (13.0, 12.0, 25.0), (13.0, 12.0, 26.0), (13.0, 12.0, 27.0), (13.0, 12.0, 28.0), (13.0, 12.0, 29.0), (12.0, 12.0, 30.0), (12.0, 12.0, 31.0), (12.0, 12.0, 32.0)]",0.3466540396865983
